Timestamp,Epoch,s,u,v
20200219-221123.217962,0,[1.7269258 1.0024947],"[[ 4.0391940e-01 -7.0707059e-01]
 [ 8.2086229e-01  8.9198351e-05]
 [ 4.0377462e-01  7.0714271e-01]]","[[ 0.7071628 -0.7070507]
 [ 0.7070507  0.7071628]]"
20200219-221123.217962,1,[1.7273116 1.004933 ],"[[ 0.4019923  -0.7059964 ]
 [ 0.8247192   0.002525  ]
 [ 0.39779475  0.70821106]]","[[ 0.70853263 -0.70567816]
 [ 0.70567816  0.70853263]]"
20200219-221123.217962,2,[1.733013  1.0073003],"[[ 0.3985116  -0.7060069 ]
 [ 0.82807857  0.00254405]
 [ 0.3943026   0.7082005 ]]","[[ 0.70853543 -0.7056753 ]
 [ 0.7056753   0.70853543]]"
20200219-221123.217962,3,[1.7335685 1.009735 ],"[[ 0.396649   -0.70496833]
 [ 0.8317482   0.00499472]
 [ 0.3884129   0.7092213 ]]","[[ 0.709895  -0.7043075]
 [ 0.7043075  0.709895 ]]"
20200219-221123.217962,4,[1.7290694 1.0122551],"[[ 0.3924142  -0.7049771 ]
 [ 0.8357495   0.00506532]
 [ 0.3841018   0.7092121 ]]","[[ 0.70993316 -0.70426905]
 [ 0.70426905  0.70993316]]"
20200219-221123.217962,5,[1.7248045 1.0147908],"[[ 0.38806415 -0.70505846]
 [ 0.83965427  0.00494218]
 [ 0.37998298  0.70913213]]","[[ 0.70985246 -0.7043505 ]
 [ 0.7043505   0.70985246]]"
20200219-221123.217962,6,[1.7257923 1.0172633],"[[ 0.38222393 -0.70613825]
 [ 0.8430637   0.00237802]
 [ 0.3783498   0.70807004]]","[[ 0.70841503 -0.7057962 ]
 [ 0.7057962   0.70841503]]"
20200219-221123.217962,7,[1.721892  1.0198182],"[[ 0.37812424 -0.70612353]
 [ 0.84678686  0.00246319]
 [ 0.3741313   0.70808446]]","[[ 0.708465   -0.70574594]
 [ 0.70574594  0.708465  ]]"
20200219-221123.217962,8,[1.7295263 1.0223882],"[[ 0.3746548  -0.70614344]
 [ 0.8498392   0.00246054]
 [ 0.37068495  0.7080648 ]]","[[ 0.70845854 -0.70575255]
 [ 0.70575255  0.70845854]]"
20200219-221123.217962,9,[1.730842  1.0248572],"[[ 0.37326473 -0.7050808 ]
 [ 0.852969    0.00523123]
 [ 0.36485246  0.70910764]]","[[ 0.7099876 -0.7042142]
 [ 0.7042142  0.7099876]]"
20200219-221123.217962,10,[1.7322367 1.0273591],"[[ 0.36750853 -0.7061598 ]
 [ 0.8560392   0.00250253]
 [ 0.3635028   0.70804805]]","[[ 0.708475 -0.705736]
 [ 0.705736  0.708475]]"
20200219-221123.217962,11,[1.733709  1.0298495],"[[ 3.6169356e-01  7.0724857e-01]
 [ 8.5902625e-01  3.6916137e-04]
 [ 3.6228687e-01 -7.0696509e-01]]","[[ 0.7068834   0.70733017]
 [ 0.70733017 -0.7068834 ]]"
20200219-221123.217962,12,[1.7352972 1.0323489],"[[ 0.36039242 -0.706237  ]
 [ 0.86192745  0.00234991]
 [ 0.35664847  0.7079715 ]]","[[ 0.70837843 -0.7058328 ]
 [ 0.7058328   0.70837843]]"
20200219-221123.217962,13,[1.7369577 1.0348366],"[[ 0.35922492 -0.70520204]
 [ 0.8647487   0.00521037]
 [ 0.35095182  0.7089873 ]]","[[ 0.7099454 -0.7042568]
 [ 0.7042568  0.7099454]]"
20200219-221123.217962,14,[1.7338864 1.0374299],"[[ 0.3552091  -0.7052809 ]
 [ 0.8679178   0.00505951]
 [ 0.34719637  0.70891   ]]","[[ 0.70985246 -0.7043504 ]
 [ 0.7043504   0.70985246]]"
20200219-221123.217962,15,[1.7310003 1.0400364],"[[ 0.3512401  -0.7053583 ]
 [ 0.87100285  0.00490624]
 [ 0.343489    0.7088342 ]]","[[ 0.70975834 -0.7044453 ]
 [ 0.7044453   0.70975834]]"
20200219-221123.217962,16,[1.7282945 1.0426556],"[[ 0.347487   -0.70536494]
 [ 0.87400424  0.00497121]
 [ 0.33966044  0.7088267 ]]","[[ 0.7097947 -0.7044085]
 [ 0.7044085  0.7097947]]"
20200219-221123.217962,17,[1.7304305 1.0451972],"[[ 0.3418488  -0.70644295]
 [ 0.87653327  0.00189322]
 [ 0.3388642   0.7077675 ]]","[[ 0.7080929 -0.7061192]
 [ 0.7061192  0.7080929]]"
20200219-221123.217962,18,[1.7279885 1.0478355],"[[ 0.33804303 -0.7064922 ]
 [ 0.8793874   0.00176153]
 [ 0.33526838  0.7077186 ]]","[[ 0.7080138 -0.7061987]
 [ 0.7061987  0.7080138]]"
20200219-221123.217962,19,[1.7257099 1.0504861],"[[ 0.3344611  -0.70647275]
 [ 0.88216317  0.00185758]
 [ 0.33154786  0.7077377 ]]","[[ 0.7080702 -0.706142 ]
 [ 0.706142   0.7080702]]"
20200219-221123.217962,20,[1.732804 1.052938],"[[ 0.3364758  -0.7045301 ]
 [ 0.884049    0.0077441 ]
 [ 0.32440925  0.7096318 ]]","[[ 0.7112805 -0.7029082]
 [ 0.7029082  0.7112805]]"
20200219-221123.217962,21,[1.7352042 1.0555124],"[[ 0.3311131  -0.7055419 ]
 [ 0.8863305   0.00476387]
 [ 0.3237014   0.7086523 ]]","[[ 0.70964783 -0.7045566 ]
 [ 0.7045566   0.70964783]]"
20200219-221123.217962,22,[1.7377006 1.058096 ],"[[ 0.32576358 -0.70653784]
 [ 0.8885396   0.00172749]
 [ 0.32307196  0.7076732 ]]","[[ 0.707989   -0.70622355]
 [ 0.70622355  0.707989  ]]"
20200219-221123.217962,23,[1.7357391 1.0607654],"[[ 0.32234648 -0.70651877]
 [ 0.8910686   0.00182518]
 [ 0.31951416  0.7076917 ]]","[[ 0.70804614 -0.70616615]
 [ 0.70616615  0.70804614]]"
