Timestamp,Epoch,s,u,v
20200220-180831.577929,0,[0.02844825 0.00757563],"[[ 0.28409842  0.8612632 ]
 [ 0.9569476  -0.28197426]
 [ 0.05949407  0.42274898]]","[[ 0.97184104 -0.2356377 ]
 [ 0.2356377   0.97184104]]"
20200220-180831.577929,1,[0.03857142 0.0061969 ],"[[ 0.23139773  0.85185766]
 [ 0.9712256  -0.23025602]
 [ 0.05635609  0.47044775]]","[[ 0.9286971  -0.37083918]
 [ 0.37083918  0.9286971 ]]"
20200220-180831.577929,2,[0.04925332 0.00533521],"[[ 0.19123927  0.8425242 ]
 [ 0.98031443 -0.18961361]
 [ 0.04910383  0.50418186]]","[[ 0.89396507 -0.44813663]
 [ 0.44813663  0.89396507]]"
20200220-180831.577929,3,[0.06012037 0.00475393],"[[ 0.16109559  0.82903093]
 [ 0.9859404  -0.15958376]
 [ 0.04438293  0.5359485 ]]","[[ 0.86777335 -0.49696022]
 [ 0.49696022  0.86777335]]"
20200220-180831.577929,4,[0.07106996 0.0043315 ],"[[ 0.13845293  0.81512403]
 [ 0.9895372  -0.1371311 ]
 [ 0.04058113  0.5628215 ]]","[[ 0.8478041  -0.53030944]
 [ 0.53030944  0.8478041 ]]"
20200220-180831.577929,5,[0.08229338 0.00402127],"[[ 0.12205499  0.80281645]
 [ 0.9918123  -0.12091024]
 [ 0.03756605  0.58383805]]","[[ 0.83189774 -0.554929  ]
 [ 0.554929    0.83189774]]"
20200220-180831.577929,6,[0.09339133 0.00378075],"[[ 0.11014055  0.79418766]
 [ 0.9933212  -0.1087565 ]
 [ 0.03438599  0.5978612 ]]","[[ 0.8194139 -0.5732024]
 [ 0.5732024  0.8194139]]"
20200220-180831.577929,7,[0.10446292 0.00358415],"[[ 0.09981095  0.7825568 ]
 [ 0.99446166 -0.09888943]
 [ 0.03291786  0.6146754 ]]","[[ 0.80929404 -0.58740366]
 [ 0.58740366  0.80929404]]"
20200220-180831.577929,8,[0.11570472 0.0034253 ],"[[ 0.09240641  0.77494496]
 [ 0.99523455 -0.09151554]
 [ 0.03113294  0.62536806]]","[[ 0.800786   -0.59895056]
 [ 0.59895056  0.800786  ]]"
20200220-180831.577929,9,[0.1269269  0.00329109],"[[ 0.08640502  0.7679619 ]
 [ 0.9958154  -0.08560753]
 [ 0.02976543  0.6347486 ]]","[[ 0.7936603 -0.6083613]
 [ 0.6083613  0.7936603]]"
