Timestamp,Epoch,s,u,v
20200228-165534.733349,0,[1.8928941 1.5701157 1.1375582 0.6909339],"[[ 0.13934682 -0.3297339   0.5557602   0.598264  ]
 [ 0.5073871  -0.6277262   0.21969928 -0.34764424]
 [ 0.6498978  -0.00915093 -0.5698508  -0.00760237]
 [ 0.5220425   0.5808143   0.17490523  0.384384  ]
 [ 0.16806407  0.39975807  0.53622895 -0.6110768 ]]","[[ 0.35042667 -0.55572194  0.6477929   0.3856667 ]
 [ 0.6184041  -0.40361884 -0.33105254 -0.5874287 ]
 [ 0.5948982   0.34244004 -0.3925099   0.6121823 ]
 [ 0.37533173  0.64109254  0.5627654  -0.36252108]]"
20200228-165534.733349,1,[1.8447367 1.5780349 1.1341287 0.6910352],"[[ 0.11718505 -0.33038858  0.55798244  0.59834325]
 [ 0.4988482  -0.63167334  0.23610426 -0.34728205]
 [ 0.661998   -0.01524335 -0.55280423 -0.00788346]
 [ 0.5250452   0.57665884  0.190628    0.3847504 ]
 [ 0.15331078  0.39882877  0.5394242  -0.61097103]]","[[ 0.3297945  -0.5574613   0.65670896  0.38627145]
 [ 0.6237464  -0.40865514 -0.3146984  -0.58728725]
 [ 0.6067257   0.33751723 -0.3783058   0.61225057]
 [ 0.3661421   0.6389991   0.57147425 -0.36199075]]"
20200228-165534.733349,2,[1.8037635 1.5862995 1.128379  0.6910367],"[[ 0.09030312  0.3310177   0.5587484   0.5995607 ]
 [ 0.48930836  0.63555014  0.2556064  -0.34522626]
 [ 0.6765116   0.02121161 -0.53185695 -0.00745015]
 [ 0.52538455 -0.5724828   0.20907666  0.3868447 ]
 [ 0.13684179 -0.39789033  0.54394853 -0.609624  ]]","[[ 0.30555475  0.55932456  0.6657435   0.38804355]
 [ 0.6305047   0.41369662 -0.29491347 -0.5868093 ]
 [ 0.6190797  -0.3325365  -0.36181185  0.6125782 ]
 [ 0.35474014 -0.63673437  0.5821543  -0.36031237]]"
20200228-165534.733349,3,[1.7631385 1.5942901 1.1245154 0.6912379],"[[ 0.07690179  0.33104312  0.559872    0.59834224]
 [ 0.49249592  0.6290155   0.26973733 -0.34686422]
 [ 0.68838096  0.01084011 -0.5137494  -0.00859192]
 [ 0.51515126 -0.57952195  0.22759487  0.38520923]
 [ 0.11083617 -0.39848098  0.54593676 -0.61091053]]","[[ 0.2954985   0.55679727  0.67286086  0.38718933]
 [ 0.64297134  0.404665   -0.2793383  -0.58720034]
 [ 0.6245939  -0.3414528  -0.34408173  0.61229086]
 [ 0.33037946 -0.640026    0.59231406 -0.36108208]]"
20200228-165534.733349,4,[1.7328198 1.6027606 1.1165261 0.6912442],"[[ 0.04822126  0.331374    0.55856335  0.59994537]
 [ 0.48162055  0.6322599   0.29107898 -0.34426636]
 [ 0.7033388   0.01612943 -0.48986873 -0.00810281]
 [ 0.5123803  -0.5760376   0.24738042  0.38784748]
 [ 0.09218032 -0.39794457  0.5496471  -0.609143  ]]","[[ 0.26924157  0.5582807   0.6813025   0.3894341 ]
 [ 0.6499619   0.40915895 -0.25678268 -0.58668673]
 [ 0.63649607 -0.33698523 -0.325578    0.6126277 ]
 [ 0.31611902 -0.6382419   0.60323226 -0.35892504]]"
20200228-165534.733349,5,[1.6982076 1.6110272 1.1083515 0.6914394],"[[ 0.03962128 -0.33223423  0.557026    0.5993247 ]
 [ 0.5019495  -0.6100354   0.30889997 -0.3449948 ]
 [ 0.71805394  0.01951141 -0.4645538  -0.00882904]
 [ 0.47807834  0.5986119   0.27168307  0.38719678]
 [ 0.04812967  0.39844713  0.5519792  -0.6097455 ]]","[[ 0.27110526 -0.54938763  0.6878715   0.38924047]
 [ 0.6764626  -0.37728056 -0.23583566 -0.58688974]
 [ 0.63130593  0.36770323 -0.30174473  0.6125338 ]
 [ 0.26524216  0.64855784  0.616575   -0.358964  ]]"
20200228-165534.733349,6,[1.6714649  1.6193717  1.1038632  0.69165933],"[[ 0.04075011 -0.3322852   0.5567025   0.59765565]
 [ 0.5264843  -0.5833475   0.32193956 -0.34736887]
 [ 0.7253589   0.05934245 -0.44632733 -0.01004539]
 [ 0.4415457   0.6226603   0.2895375   0.38489223]
 [ 0.00675645  0.39757323  0.5508149  -0.6114735 ]]","[[ 0.28245765 -0.5370918   0.6938507   0.3877129 ]
 [ 0.7006677  -0.3399079  -0.22009441 -0.5874402 ]
 [ 0.6193318   0.40196827 -0.28303465  0.6121609 ]
 [ 0.21380037  0.6591028   0.6245166  -0.36034968]]"
20200228-165534.733349,7,[1.647108   1.6266154  1.093011   0.69179654],"[[ 0.09173264 -0.3237648   0.5525392   0.5982305 ]
 [ 0.63756067 -0.44913995  0.34241357 -0.34629717]
 [ 0.7051137   0.2313084  -0.4185634  -0.01009129]
 [ 0.2757647   0.7044331   0.31277582  0.38614622]
 [-0.10894929  0.37910506  0.5517516  -0.6107276 ]]","[[ 0.37509912 -0.46695954  0.7000186   0.38887513]
 [ 0.76787555 -0.16525915 -0.19547714 -0.5872354 ]
 [ 0.5181723   0.53799015 -0.25896835  0.6123723 ]
 [ 0.03413597  0.6820595   0.6361591  -0.35907015]]"
20200228-165534.733349,8,[1.6404072  1.6221017  1.0856792  0.69197667],"[[ 0.29157555 -0.17314452  0.54947513  0.5975238 ]
 [ 0.7604696   0.14903818  0.35740936 -0.3471578 ]
 [ 0.31748903  0.68128216 -0.39747766 -0.01073655]
 [-0.3274156   0.6766641   0.33155975  0.3852813 ]
 [-0.35870472  0.16058761  0.54992247 -0.6114651 ]]","[[ 0.58993906 -0.06507187  0.7048657   0.38846096]
 [ 0.64800984  0.451335   -0.1769486  -0.587426  ]
 [-0.03464723  0.7529231  -0.23890424  0.6122347 ]
 [-0.4804735   0.4745203   0.6440328  -0.3594407 ]]"
20200228-165534.733349,9,[1.6470422 1.6085945 1.076012  0.6921563],"[[ 0.32054368 -0.12159818  0.5445596   0.5976413 ]
 [ 0.7029742   0.31305417  0.37411445 -0.3467415 ]
 [ 0.15120764  0.74592716 -0.3750848  -0.01096239]
 [-0.47783688  0.5728236   0.35007966  0.38584977]
 [-0.38972765  0.05174135  0.54795    -0.6112244 ]]","[[ 0.5855349   0.05363742  0.70916843  0.38904026]
 [ 0.52552694  0.59519416 -0.1566984  -0.5873767 ]
 [-0.20832568  0.7305135  -0.21915008  0.61231065]
 [-0.581009    0.3304809   0.65153605 -0.358765  ]]"
20200228-165534.733349,10,[1.6548308  1.5963191  1.0651007  0.69227177],"[[ 0.330259   -0.10282068  0.5389669  -0.59868646]
 [ 0.65703326  0.38790303  0.39337817  0.3448437 ]
 [ 0.05903636  0.76794523 -0.3521974   0.01080427]
 [-0.5468628   0.4989395   0.3655555  -0.38769695]
 [-0.3958432  -0.01669058  0.5450641   0.61010814]]","[[ 0.57048035  0.10522515  0.71464396 -0.39085025]
 [ 0.4477615   0.6611588  -0.13378732  0.586924  ]
 [-0.2970928   0.70419705 -0.20154203 -0.6125547 ]
 [-0.6211261   0.2364391   0.65632755  0.35711777]]"
